>>>>>Running tests<<<<<
Running 2 test sets
Loaded classifier cascade/haar_10.xml (w:23 h:46)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.59][falsep: 0.28][fps: 166.49]
person02_running_d4_uncomp.avi [det: 0.89][falsep: 0.50][fps: 142.90]
person03_running_d4_uncomp.avi [det: 0.79][falsep: 0.23][fps: 142.25]
person04_running_d2_uncomp.avi [det: 0.79][falsep: 0.12][fps: 163.42]
person05_running_d1_uncomp.avi [det: 0.65][falsep: 0.09][fps: 168.41]
person06_running_d3_uncomp.avi [det: 0.78][falsep: 0.25][fps: 162.37]
person07_running_d1_uncomp.avi [det: 0.70][falsep: 0.23][fps: 171.14]
person08_running_d2_uncomp.avi [det: 0.71][falsep: 0.05][fps: 173.49]
person09_running_d1_uncomp.avi [det: 0.60][falsep: 0.14][fps: 169.34]
person10_running_d1_uncomp.avi [det: 0.66][falsep: 0.10][fps: 176.93]
person11_running_d3_uncomp.avi [det: 0.51][falsep: 0.13][fps: 167.74]
person12_running_d2_uncomp.avi [det: 0.73][falsep: 0.04][fps: 179.54]
person13_running_d4_uncomp.avi [det: 0.73][falsep: 0.28][fps: 170.69]
person14_running_d1_uncomp.avi [det: 0.53][falsep: 0.10][fps: 174.73]
person15_running_d2_uncomp.avi [det: 0.69][falsep: 0.06][fps: 176.19]
person16_running_d2_uncomp.avi [det: 0.72][falsep: 0.05][fps: 182.83]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.19][fps: 173.26]
person18_running_d3_uncomp.avi [det: 0.69][falsep: 0.10][fps: 174.91]
person19_running_d2_uncomp.avi [det: 0.78][falsep: 0.07][fps: 169.05]
person20_running_d4_uncomp.avi [det: 0.74][falsep: 0.25][fps: 170.40]
person21_running_d1_uncomp.avi [det: 0.66][falsep: 0.13][fps: 180.15]
person22_running_d3_uncomp.avi [det: 0.49][falsep: 0.12][fps: 183.23]
person23_running_d4_uncomp.avi [det: 0.78][falsep: 0.30][fps: 154.65]
person24_running_d3_uncomp.avi [det: 0.71][falsep: 0.25][fps: 172.36]
person25_running_d3_uncomp.avi [det: 0.73][falsep: 0.15][fps: 167.85]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.60][falsep: 0.30][fps: 717.95]
person02_running_d4_uncomp.avi [det: 0.88][falsep: 0.48][fps: 406.87]
person03_running_d4_uncomp.avi [det: 0.80][falsep: 0.22][fps: 433.16]
person04_running_d2_uncomp.avi [det: 0.80][falsep: 0.13][fps: 476.79]
person05_running_d1_uncomp.avi [det: 0.71][falsep: 0.14][fps: 502.71]
person06_running_d3_uncomp.avi [det: 0.78][falsep: 0.22][fps: 672.79]
person07_running_d1_uncomp.avi [det: 0.71][falsep: 0.26][fps: 756.58]
person08_running_d2_uncomp.avi [det: 0.79][falsep: 0.10][fps: 640.24]
person09_running_d1_uncomp.avi [det: 0.63][falsep: 0.14][fps: 531.55]
person10_running_d1_uncomp.avi [det: 0.67][falsep: 0.11][fps: 789.51]
person11_running_d3_uncomp.avi [det: 0.52][falsep: 0.20][fps: 733.32]
person12_running_d2_uncomp.avi [det: 0.75][falsep: 0.07][fps: 762.88]
person13_running_d4_uncomp.avi [det: 0.74][falsep: 0.28][fps: 731.49]
person14_running_d1_uncomp.avi [det: 0.59][falsep: 0.10][fps: 598.53]
person15_running_d2_uncomp.avi [det: 0.69][falsep: 0.07][fps: 694.17]
person16_running_d2_uncomp.avi [det: 0.72][falsep: 0.07][fps: 501.21]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.21][fps: 702.19]
person18_running_d3_uncomp.avi [det: 0.70][falsep: 0.09][fps: 743.61]
person19_running_d2_uncomp.avi [det: 0.79][falsep: 0.07][fps: 625.31]
person20_running_d4_uncomp.avi [det: 0.74][falsep: 0.23][fps: 572.64]
person21_running_d1_uncomp.avi [det: 0.67][falsep: 0.14][fps: 781.25]
person22_running_d3_uncomp.avi [det: 0.52][falsep: 0.15][fps: 813.16]
person23_running_d4_uncomp.avi [det: 0.77][falsep: 0.27][fps: 474.66]
person24_running_d3_uncomp.avi [det: 0.72][falsep: 0.24][fps: 751.25]
person25_running_d3_uncomp.avi [det: 0.85][falsep: 0.43][fps: 628.83]
Loaded classifier cascade/haar_11.xml (w:23 h:46)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.49][falsep: 0.16][fps: 174.14]
person02_running_d4_uncomp.avi [det: 0.78][falsep: 0.12][fps: 148.06]
person03_running_d4_uncomp.avi [det: 0.63][falsep: 0.08][fps: 152.12]
person04_running_d2_uncomp.avi [det: 0.63][falsep: 0.08][fps: 167.74]
person05_running_d1_uncomp.avi [det: 0.37][falsep: 0.04][fps: 171.61]
person06_running_d3_uncomp.avi [det: 0.73][falsep: 0.16][fps: 165.80]
person07_running_d1_uncomp.avi [det: 0.64][falsep: 0.16][fps: 171.67]
person08_running_d2_uncomp.avi [det: 0.50][falsep: 0.03][fps: 180.91]
person09_running_d1_uncomp.avi [det: 0.49][falsep: 0.08][fps: 172.36]
person10_running_d1_uncomp.avi [det: 0.64][falsep: 0.07][fps: 180.38]
person11_running_d3_uncomp.avi [det: 0.38][falsep: 0.06][fps: 179.20]
person12_running_d2_uncomp.avi [det: 0.59][falsep: 0.05][fps: 182.75]
person13_running_d4_uncomp.avi [det: 0.68][falsep: 0.08][fps: 175.79]
person14_running_d1_uncomp.avi [det: 0.51][falsep: 0.06][fps: 178.34]
person15_running_d2_uncomp.avi [det: 0.60][falsep: 0.06][fps: 177.35]
person16_running_d2_uncomp.avi [det: 0.66][falsep: 0.05][fps: 183.39]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.16][fps: 174.54]
person18_running_d3_uncomp.avi [det: 0.65][falsep: 0.05][fps: 176.41]
person19_running_d2_uncomp.avi [det: 0.74][falsep: 0.06][fps: 174.33]
person20_running_d4_uncomp.avi [det: 0.69][falsep: 0.09][fps: 171.85]
person21_running_d1_uncomp.avi [det: 0.59][falsep: 0.10][fps: 182.61]
person22_running_d3_uncomp.avi [det: 0.35][falsep: 0.06][fps: 187.81]
person23_running_d4_uncomp.avi [det: 0.73][falsep: 0.15][fps: 160.67]
person24_running_d3_uncomp.avi [det: 0.63][falsep: 0.14][fps: 175.94]
person25_running_d3_uncomp.avi [det: 0.48][falsep: 0.06][fps: 172.71]
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.51][falsep: 0.16][fps: 760.62]
person02_running_d4_uncomp.avi [det: 0.79][falsep: 0.13][fps: 427.39]
person03_running_d4_uncomp.avi [det: 0.66][falsep: 0.09][fps: 458.70]
person04_running_d2_uncomp.avi [det: 0.75][falsep: 0.08][fps: 495.27]
person05_running_d1_uncomp.avi [det: 0.64][falsep: 0.13][fps: 506.32]
person06_running_d3_uncomp.avi [det: 0.75][falsep: 0.18][fps: 716.93]
person07_running_d1_uncomp.avi [det: 0.66][falsep: 0.17][fps: 807.69]
person08_running_d2_uncomp.avi [det: 0.75][falsep: 0.06][fps: 655.99]
person09_running_d1_uncomp.avi [det: 0.58][falsep: 0.07][fps: 534.68]
person10_running_d1_uncomp.avi [det: 0.66][falsep: 0.07][fps: 804.42]
person11_running_d3_uncomp.avi [det: 0.42][falsep: 0.09][fps: 746.92]
person12_running_d2_uncomp.avi [det: 0.72][falsep: 0.05][fps: 784.86]
person13_running_d4_uncomp.avi [det: 0.68][falsep: 0.08][fps: 773.43]
person14_running_d1_uncomp.avi [det: 0.55][falsep: 0.07][fps: 634.47]
person15_running_d2_uncomp.avi [det: 0.66][falsep: 0.06][fps: 743.90]
person16_running_d2_uncomp.avi [det: 0.71][falsep: 0.05][fps: 510.16]
person17_running_d1_uncomp.avi [det: 0.11][falsep: 0.17][fps: 724.98]
person18_running_d3_uncomp.avi [det: 0.65][falsep: 0.05][fps: 786.43]
person19_running_d2_uncomp.avi [det: 0.77][falsep: 0.05][fps: 664.49]
person20_running_d4_uncomp.avi [det: 0.70][falsep: 0.13][fps: 587.66]
person21_running_d1_uncomp.avi [det: 0.65][falsep: 0.10][fps: 815.26]
person22_running_d3_uncomp.avi [det: 0.46][falsep: 0.08][fps: 884.38]
person23_running_d4_uncomp.avi [det: 0.72][falsep: 0.17][fps: 496.75]
person24_running_d3_uncomp.avi [det: 0.69][falsep: 0.14][fps: 779.44]
person25_running_d3_uncomp.avi [det: 0.76][falsep: 0.20][fps: 652.30]
Loaded classifier cascade/haar_12.xml (w:23 h:46)
Set contains 25 videos
person01_running_d4_uncomp.avi [det: 0.44][falsep: 0.15][fps: 171.54]
person02_running_d4_uncomp.avi [det: 0.72][falsep: 0.08][fps: 145.74]
person03_running_d4_uncomp.avi [det: 0.64][falsep: 0.05][fps: 145.84]
person04_running_d2_uncomp.avi [det: 0.52][falsep: 0.05][fps: 168.68]
person05_running_d1_uncomp.avi [det: 0.23][falsep: 0.01][fps: 174.08]
